time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-27 00:00:00+00:00,2,2,957,245
2025-01-28 00:00:00+00:00,2,2,1326,399
2025-01-29 00:00:00+00:00,4,4,1291,339
2025-01-30 00:00:00+00:00,7,5,1584,381
2025-01-31 00:00:00+00:00,9,9,1554,362
2025-02-01 00:00:00+00:00,9,6,702,184
2025-02-02 00:00:00+00:00,4,4,765,203
2025-02-03 00:00:00+00:00,10,9,1895,433
2025-02-04 00:00:00+00:00,5,5,1970,451
2025-02-05 00:00:00+00:00,15,13,1652,471
2025-02-06 00:00:00+00:00,18,13,1971,492
2025-02-07 00:00:00+00:00,15,9,1552,394
2025-02-08 00:00:00+00:00,9,9,806,214
2025-02-09 00:00:00+00:00,6,5,815,237
2025-02-10 00:00:00+00:00,2,2,648,198
