time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-03 00:00:00+00:00,6,6,523,151
2025-09-04 00:00:00+00:00,10,9,1118,294
2025-09-05 00:00:00+00:00,20,15,882,262
2025-09-06 00:00:00+00:00,8,8,414,110
2025-09-07 00:00:00+00:00,16,13,417,139
2025-09-08 00:00:00+00:00,11,10,821,306
2025-09-09 00:00:00+00:00,5,5,963,273
2025-09-10 00:00:00+00:00,14,12,1181,282
2025-09-11 00:00:00+00:00,9,9,971,278
2025-09-12 00:00:00+00:00,11,11,885,233
2025-09-13 00:00:00+00:00,10,10,416,128
2025-09-14 00:00:00+00:00,6,6,392,144
2025-09-15 00:00:00+00:00,9,9,1162,310
2025-09-16 00:00:00+00:00,148,13,1507,367
2025-09-17 00:00:00+00:00,8,8,457,137
