time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-27 00:00:00+00:00,5,5,1829,255
2023-09-28 00:00:00+00:00,20,13,3876,453
2023-09-29 00:00:00+00:00,4,4,2539,362
2023-09-30 00:00:00+00:00,6,5,1386,196
2023-10-01 00:00:00+00:00,4,4,1514,214
2023-10-02 00:00:00+00:00,10,9,3073,399
2023-10-03 00:00:00+00:00,19,13,3364,392
2023-10-04 00:00:00+00:00,6,5,3116,462
2023-10-05 00:00:00+00:00,8,7,3301,433
2023-10-06 00:00:00+00:00,15,13,3034,381
2023-10-07 00:00:00+00:00,4,4,1754,256
2023-10-08 00:00:00+00:00,30,11,2457,275
2023-10-09 00:00:00+00:00,19,10,3605,451
2023-10-10 00:00:00+00:00,12,10,3754,504
2023-10-11 00:00:00+00:00,4,3,1819,241
