time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-26 00:00:00+00:00,2,2,1780,227
2024-08-27 00:00:00+00:00,11,3,3529,472
2024-08-28 00:00:00+00:00,19,4,3866,445
2024-08-29 00:00:00+00:00,35,3,3154,427
2024-08-30 00:00:00+00:00,21,4,2732,363
2024-08-31 00:00:00+00:00,6,4,1572,202
2024-09-01 00:00:00+00:00,9,1,1876,202
2024-09-02 00:00:00+00:00,79,7,2931,395
2024-09-03 00:00:00+00:00,60,6,2953,406
2024-09-04 00:00:00+00:00,68,5,3122,420
2024-09-05 00:00:00+00:00,42,1,2669,410
2024-09-06 00:00:00+00:00,93,4,3033,392
2024-09-07 00:00:00+00:00,36,2,1264,174
2024-09-08 00:00:00+00:00,3,3,1210,180
2024-09-09 00:00:00+00:00,4,2,1578,217
