time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-17 00:00:00+00:00,17,7,787,222
2025-11-18 00:00:00+00:00,39,23,1448,401
2025-11-19 00:00:00+00:00,22,15,1295,383
2025-11-20 00:00:00+00:00,29,16,1471,365
2025-11-21 00:00:00+00:00,29,12,1247,304
2025-11-22 00:00:00+00:00,3,3,451,174
2025-11-23 00:00:00+00:00,13,12,592,192
2025-11-24 00:00:00+00:00,31,27,1308,371
2025-11-25 00:00:00+00:00,42,34,1617,364
2025-11-26 00:00:00+00:00,18,14,1213,349
2025-11-27 00:00:00+00:00,20,14,1049,339
2025-11-28 00:00:00+00:00,22,17,857,297
2025-11-29 00:00:00+00:00,25,21,694,177
2025-11-30 00:00:00+00:00,17,16,784,190
2025-12-01 00:00:00+00:00,10,9,476,148
