time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-04 00:00:00+00:00,2.0,2.0,939,248
2024-11-05 00:00:00+00:00,4.0,4.0,1696,452
2024-11-06 00:00:00+00:00,23.0,5.0,1823,456
2024-11-07 00:00:00+00:00,22.0,5.0,1900,460
2024-11-08 00:00:00+00:00,19.0,7.0,1683,428
2024-11-09 00:00:00+00:00,3.0,2.0,924,209
2024-11-10 00:00:00+00:00,,,871,231
2024-11-11 00:00:00+00:00,35.0,6.0,1670,483
2024-11-12 00:00:00+00:00,6.0,6.0,2179,491
2024-11-13 00:00:00+00:00,4.0,4.0,2315,514
2024-11-14 00:00:00+00:00,3.0,3.0,2156,546
2024-11-15 00:00:00+00:00,37.0,4.0,1774,452
2024-11-16 00:00:00+00:00,1.0,1.0,722,224
2024-11-17 00:00:00+00:00,2.0,1.0,850,240
2024-11-18 00:00:00+00:00,3.0,3.0,847,222
