time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-13 00:00:00+00:00,,,377,122
2024-10-14 00:00:00+00:00,4.0,4.0,1766,433
2024-10-15 00:00:00+00:00,3.0,3.0,2037,533
2024-10-16 00:00:00+00:00,24.0,5.0,2063,504
2024-10-17 00:00:00+00:00,4.0,4.0,1707,488
2024-10-18 00:00:00+00:00,3.0,3.0,1936,462
2024-10-19 00:00:00+00:00,2.0,2.0,771,230
2024-10-20 00:00:00+00:00,2.0,2.0,1004,246
2024-10-21 00:00:00+00:00,4.0,3.0,1876,495
2024-10-22 00:00:00+00:00,4.0,3.0,2338,511
2024-10-23 00:00:00+00:00,8.0,4.0,2104,506
2024-10-24 00:00:00+00:00,3.0,3.0,2215,560
2024-10-25 00:00:00+00:00,5.0,3.0,1793,480
2024-10-26 00:00:00+00:00,1.0,1.0,908,250
2024-10-27 00:00:00+00:00,2.0,1.0,354,118
