time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-21 00:00:00+00:00,21,16,352,167
2026-05-22 00:00:00+00:00,62,26,412,186
2026-05-23 00:00:00+00:00,57,36,507,118
2026-05-24 00:00:00+00:00,43,23,452,126
2026-05-25 00:00:00+00:00,64,46,592,201
2026-05-26 00:00:00+00:00,54,33,409,171
2026-05-27 00:00:00+00:00,54,28,413,172
2026-05-28 00:00:00+00:00,56,32,403,187
2026-05-29 00:00:00+00:00,481,71,385,156
2026-05-30 00:00:00+00:00,47,24,424,92
2026-05-31 00:00:00+00:00,734,66,305,97
2026-06-01 00:00:00+00:00,37,27,478,173
2026-06-02 00:00:00+00:00,38,27,281,106
2026-06-03 00:00:00+00:00,584,72,455,137
