time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-24 00:00:00+00:00,1,1,892,121
2023-09-25 00:00:00+00:00,44,23,4173,485
2023-09-26 00:00:00+00:00,60,20,3568,504
2023-09-27 00:00:00+00:00,9,8,3882,476
2023-09-28 00:00:00+00:00,20,13,3876,453
2023-09-29 00:00:00+00:00,4,4,2539,362
2023-09-30 00:00:00+00:00,6,5,1386,196
2023-10-01 00:00:00+00:00,4,4,1514,214
2023-10-02 00:00:00+00:00,10,9,3073,399
2023-10-03 00:00:00+00:00,19,13,3364,392
2023-10-04 00:00:00+00:00,6,5,3116,462
2023-10-05 00:00:00+00:00,8,7,3301,433
2023-10-06 00:00:00+00:00,15,13,3034,381
2023-10-07 00:00:00+00:00,4,4,1754,256
2023-10-08 00:00:00+00:00,27,8,1004,132
