time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-31 00:00:00+00:00,1229,80,382,168
2026-08-01 00:00:00+00:00,49,17,345,123
2026-08-02 00:00:00+00:00,4,3,346,91
2026-08-03 00:00:00+00:00,34,13,481,208
2026-08-04 00:00:00+00:00,65,25,415,175
2026-08-05 00:00:00+00:00,22,21,495,171
2026-08-06 00:00:00+00:00,64,53,536,168
2026-08-07 00:00:00+00:00,16,11,477,207
2026-08-08 00:00:00+00:00,12,11,282,92
2026-08-09 00:00:00+00:00,133,112,300,92
2026-08-10 00:00:00+00:00,17,14,433,155
2026-08-11 00:00:00+00:00,36,20,582,181
2026-08-12 00:00:00+00:00,19,17,411,146
2026-08-13 00:00:00+00:00,41,27,353,170
