time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-10 00:00:00+00:00,21,15,743,224
2025-11-11 00:00:00+00:00,20,20,1371,394
2025-11-12 00:00:00+00:00,26,19,1752,438
2025-11-13 00:00:00+00:00,37,14,1660,395
2025-11-14 00:00:00+00:00,60,11,1350,371
2025-11-15 00:00:00+00:00,26,13,773,210
2025-11-16 00:00:00+00:00,50,9,805,208
2025-11-17 00:00:00+00:00,31,12,1716,400
2025-11-18 00:00:00+00:00,39,23,1448,401
2025-11-19 00:00:00+00:00,22,15,1295,383
2025-11-20 00:00:00+00:00,29,16,1471,365
2025-11-21 00:00:00+00:00,29,12,1247,304
2025-11-22 00:00:00+00:00,3,3,451,174
2025-11-23 00:00:00+00:00,13,12,592,192
2025-11-24 00:00:00+00:00,15,12,451,166
