time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-19 00:00:00+00:00,1,1,1036,266
2024-11-20 00:00:00+00:00,12,10,2017,501
2024-11-21 00:00:00+00:00,64,8,2117,491
2024-11-22 00:00:00+00:00,24,5,1851,462
2024-11-23 00:00:00+00:00,2,2,823,242
2024-11-24 00:00:00+00:00,10,7,1010,243
2024-11-25 00:00:00+00:00,5,4,2420,579
2024-11-26 00:00:00+00:00,4,3,2005,522
2024-11-27 00:00:00+00:00,6,4,1930,472
2024-11-28 00:00:00+00:00,4,3,1646,438
2024-11-29 00:00:00+00:00,6,5,1440,350
2024-11-30 00:00:00+00:00,1,1,834,199
2024-12-01 00:00:00+00:00,2,2,869,213
2024-12-02 00:00:00+00:00,6,5,1902,514
2024-12-03 00:00:00+00:00,3,3,876,236
