time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-01 00:00:00+00:00,7,4,1797,220
2024-08-02 00:00:00+00:00,11,3,3287,427
2024-08-03 00:00:00+00:00,2,2,1133,172
2024-08-04 00:00:00+00:00,1,1,1163,196
2024-08-05 00:00:00+00:00,11,5,3832,490
2024-08-06 00:00:00+00:00,27,7,3518,426
2024-08-07 00:00:00+00:00,18,8,3751,432
2024-08-08 00:00:00+00:00,6,6,3345,395
2024-08-09 00:00:00+00:00,17,5,2651,371
2024-08-10 00:00:00+00:00,2,2,1230,186
2024-08-11 00:00:00+00:00,1,1,1440,193
2024-08-12 00:00:00+00:00,76,8,3271,406
2024-08-13 00:00:00+00:00,72,8,3476,445
2024-08-14 00:00:00+00:00,65,6,3503,408
2024-08-15 00:00:00+00:00,19,2,1388,168
