time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-28 00:00:00+00:00,54,28,482,213
2025-07-29 00:00:00+00:00,466,67,1293,541
2025-07-30 00:00:00+00:00,190,52,1436,520
2025-07-31 00:00:00+00:00,209,75,1160,435
2025-08-01 00:00:00+00:00,238,56,975,345
2025-08-02 00:00:00+00:00,277,32,445,178
2025-08-03 00:00:00+00:00,236,122,524,266
2025-08-04 00:00:00+00:00,492,83,1206,524
2025-08-05 00:00:00+00:00,846,70,1294,437
2025-08-06 00:00:00+00:00,1429,64,1105,387
2025-08-07 00:00:00+00:00,565,80,1167,422
2025-08-08 00:00:00+00:00,2355,97,1056,339
2025-08-09 00:00:00+00:00,1140,62,421,165
2025-08-10 00:00:00+00:00,433,134,606,194
2025-08-11 00:00:00+00:00,107,32,390,157
