time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-26 00:00:00+00:00,30,13,793,191
2024-01-27 00:00:00+00:00,33,17,599,167
2024-01-28 00:00:00+00:00,155,77,650,188
2024-01-29 00:00:00+00:00,484,92,2058,377
2024-01-30 00:00:00+00:00,518,56,2345,438
2024-01-31 00:00:00+00:00,235,47,1796,381
2024-02-01 00:00:00+00:00,538,55,1726,357
2024-02-02 00:00:00+00:00,502,62,1670,372
2024-02-03 00:00:00+00:00,146,29,593,177
2024-02-04 00:00:00+00:00,225,107,676,201
2024-02-05 00:00:00+00:00,452,54,2416,442
2024-02-06 00:00:00+00:00,280,52,1995,355
2024-02-07 00:00:00+00:00,369,49,1842,336
2024-02-08 00:00:00+00:00,626,47,1367,305
2024-02-09 00:00:00+00:00,35,16,418,103
