time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-05 00:00:00+00:00,97,13,1002,196
2024-07-06 00:00:00+00:00,45,15,798,200
2024-07-07 00:00:00+00:00,58,25,828,209
2024-07-08 00:00:00+00:00,185,35,2837,510
2024-07-09 00:00:00+00:00,137,31,2680,523
2024-07-10 00:00:00+00:00,126,25,3050,587
2024-07-11 00:00:00+00:00,122,17,2539,514
2024-07-12 00:00:00+00:00,152,20,1852,437
2024-07-13 00:00:00+00:00,35,18,710,203
2024-07-14 00:00:00+00:00,121,24,762,206
2024-07-15 00:00:00+00:00,106,19,2053,495
2024-07-16 00:00:00+00:00,322,18,2523,548
2024-07-17 00:00:00+00:00,523,20,2784,575
2024-07-18 00:00:00+00:00,347,17,2648,508
2024-07-19 00:00:00+00:00,118,9,1207,222
