time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-05 00:00:00+00:00,12,8,597,232
2024-12-06 00:00:00+00:00,57,17,1213,395
2024-12-07 00:00:00+00:00,22,14,582,230
2024-12-08 00:00:00+00:00,25,16,726,229
2024-12-09 00:00:00+00:00,83,16,1537,505
2024-12-10 00:00:00+00:00,84,29,1441,495
2024-12-11 00:00:00+00:00,145,26,1188,454
2024-12-12 00:00:00+00:00,145,25,1394,473
2024-12-13 00:00:00+00:00,173,18,1119,397
2024-12-14 00:00:00+00:00,22,14,690,224
2024-12-15 00:00:00+00:00,64,13,610,257
2024-12-16 00:00:00+00:00,81,10,1271,445
2024-12-17 00:00:00+00:00,38,13,1380,504
2024-12-18 00:00:00+00:00,250,12,1429,465
2024-12-19 00:00:00+00:00,146,11,767,219
