time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-31 00:00:00+00:00,91,44,494,217
2025-08-01 00:00:00+00:00,238,56,975,345
2025-08-02 00:00:00+00:00,277,32,445,178
2025-08-03 00:00:00+00:00,236,122,524,266
2025-08-04 00:00:00+00:00,492,83,1206,524
2025-08-05 00:00:00+00:00,846,70,1294,437
2025-08-06 00:00:00+00:00,1429,64,1105,387
2025-08-07 00:00:00+00:00,565,80,1167,422
2025-08-08 00:00:00+00:00,2355,97,1056,339
2025-08-09 00:00:00+00:00,1140,62,421,165
2025-08-10 00:00:00+00:00,433,134,606,194
2025-08-11 00:00:00+00:00,282,60,942,342
2025-08-12 00:00:00+00:00,1652,879,1095,411
2025-08-13 00:00:00+00:00,1224,684,1001,377
2025-08-14 00:00:00+00:00,64,18,5018,166
