time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-27 00:00:00+00:00,47,13,753,245
2025-01-28 00:00:00+00:00,136,19,1223,427
2025-01-29 00:00:00+00:00,234,13,949,370
2025-01-30 00:00:00+00:00,64,29,1272,395
2025-01-31 00:00:00+00:00,162,35,1050,370
2025-02-01 00:00:00+00:00,179,26,525,191
2025-02-02 00:00:00+00:00,470,102,687,229
2025-02-03 00:00:00+00:00,468,69,1364,463
2025-02-04 00:00:00+00:00,842,74,1328,462
2025-02-05 00:00:00+00:00,677,53,1284,457
2025-02-06 00:00:00+00:00,347,58,1419,478
2025-02-07 00:00:00+00:00,2648,74,1596,433
2025-02-08 00:00:00+00:00,404,33,610,234
2025-02-09 00:00:00+00:00,261,116,453,194
2025-02-10 00:00:00+00:00,193,22,554,185
