time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-01 00:00:00+00:00,116,13,449,121
2024-06-02 00:00:00+00:00,357,85,979,218
2024-06-03 00:00:00+00:00,380,43,2738,536
2024-06-04 00:00:00+00:00,126,30,2113,495
2024-06-05 00:00:00+00:00,98,40,2421,482
2024-06-06 00:00:00+00:00,151,31,2113,476
2024-06-07 00:00:00+00:00,68,24,1676,485
2024-06-08 00:00:00+00:00,47,24,702,174
2024-06-09 00:00:00+00:00,125,68,1039,206
2024-06-10 00:00:00+00:00,237,40,2386,472
2024-06-11 00:00:00+00:00,430,52,3416,560
2024-06-12 00:00:00+00:00,114,41,2775,574
2024-06-13 00:00:00+00:00,490,59,3022,531
2024-06-14 00:00:00+00:00,184,37,1849,450
2024-06-15 00:00:00+00:00,46,2,442,106
